datetime,demand
2023-01-01 00:00:00,21043
2023-01-01 00:30:00,21756
2023-01-01 01:00:00,21348
2023-01-01 01:30:00,20586
2023-01-01 02:00:00,19781
2023-01-01 02:30:00,19077
2023-01-01 03:00:00,18511
2023-01-01 03:30:00,17803
2023-01-01 04:00:00,17363
2023-01-01 04:30:00,17096
2023-01-01 05:00:00,17091
2023-01-01 05:30:00,17231
2023-01-01 06:00:00,17748
2023-01-01 06:30:00,18115
2023-01-01 07:00:00,18743
2023-01-01 07:30:00,19085
2023-01-01 08:00:00,19675
2023-01-01 08:30:00,20491
2023-01-01 09:00:00,21442
2023-01-01 09:30:00,22152
2023-01-01 10:00:00,23089
2023-01-01 10:30:00,23828
2023-01-01 11:00:00,24677
2023-01-01 11:30:00,25591
2023-01-01 12:00:00,26670
2023-01-01 12:30:00,27296
2023-01-01 13:00:00,27541
2023-01-01 13:30:00,27670
2023-01-01 14:00:00,27881
2023-01-01 14:30:00,28315
2023-01-01 15:00:00,28818
2023-01-01 15:30:00,29486
2023-01-01 16:00:00,30837
2023-01-01 16:30:00,31927
2023-01-01 17:00:00,32628
2023-01-01 17:30:00,32478
2023-01-01 18:00:00,31740
2023-01-01 18:30:00,31062
2023-01-01 19:00:00,30330
2023-01-01 19:30:00,29100
2023-01-01 20:00:00,28532
2023-01-01 20:30:00,28164
2023-01-01 21:00:00,27163
2023-01-01 21:30:00,26018
2023-01-01 22:00:00,25146
2023-01-01 22:30:00,24139
2023-01-01 23:00:00,22885
2023-01-01 23:30:00,21971
2023-01-02 00:00:00,21770
2023-01-02 00:30:00,22351
2023-01-02 01:00:00,21904
2023-01-02 01:30:00,21285
2023-01-02 02:00:00,20818
2023-01-02 02:30:00,20379
2023-01-02 03:00:00,19895
2023-01-02 03:30:00,19426
2023-01-02 04:00:00,19180
2023-01-02 04:30:00,19055
2023-01-02 05:00:00,19251
2023-01-02 05:30:00,19699
2023-01-02 06:00:00,20794
2023-01-02 06:30:00,21628
2023-01-02 07:00:00,22774
2023-01-02 07:30:00,23473
2023-01-02 08:00:00,24661
2023-01-02 08:30:00,25655
2023-01-02 09:00:00,26657
2023-01-02 09:30:00,27194
2023-01-02 10:00:00,27535
2023-01-02 10:30:00,27388
2023-01-02 11:00:00,27278
2023-01-02 11:30:00,27275
2023-01-02 12:00:00,27529
2023-01-02 12:30:00,27990
2023-01-02 13:00:00,27980
2023-01-02 13:30:00,28076
2023-01-02 14:00:00,28777
2023-01-02 14:30:00,29719
2023-01-02 15:00:00,30868
2023-01-02 15:30:00,32294
2023-01-02 16:00:00,34409
2023-01-02 16:30:00,36472
2023-01-02 17:00:00,37631
2023-01-02 17:30:00,38035
2023-01-02 18:00:00,37371
2023-01-02 18:30:00,36362
2023-01-02 19:00:00,35292
2023-01-02 19:30:00,34262
2023-01-02 20:00:00,33000
2023-01-02 20:30:00,31761
2023-01-02 21:00:00,30373
2023-01-02 21:30:00,29172
2023-01-02 22:00:00,27635
2023-01-02 22:30:00,25995
2023-01-02 23:00:00,24530
2023-01-02 23:30:00,23407
2023-01-03 00:00:00,23232
2023-01-03 00:30:00,23574
2023-01-03 01:00:00,23224
2023-01-03 01:30:00,22493
2023-01-03 02:00:00,21919
2023-01-03 02:30:00,21403
2023-01-03 03:00:00,20919
2023-01-03 03:30:00,20312
2023-01-03 04:00:00,19704
2023-01-03 04:30:00,19773
2023-01-03 05:00:00,19967
2023-01-03 05:30:00,20751
2023-01-03 06:00:00,22776
2023-01-03 06:30:00,24743
2023-01-03 07:00:00,27136
2023-01-03 07:30:00,29052
2023-01-03 08:00:00,30720
2023-01-03 08:30:00,31904
2023-01-03 09:00:00,33328
2023-01-03 09:30:00,33905
2023-01-03 10:00:00,34544
2023-01-03 10:30:00,34825
2023-01-03 11:00:00,35410
2023-01-03 11:30:00,35519
2023-01-03 12:00:00,35912
2023-01-03 12:30:00,36086
2023-01-03 13:00:00,36163
2023-01-03 13:30:00,35956
2023-01-03 14:00:00,35651
2023-01-03 14:30:00,35496
2023-01-03 15:00:00,35606
2023-01-03 15:30:00,36009
2023-01-03 16:00:00,36794
2023-01-03 16:30:00,37673
2023-01-03 17:00:00,38090
2023-01-03 17:30:00,37795
2023-01-03 18:00:00,36955
2023-01-03 18:30:00,36002
2023-01-03 19:00:00,34949
2023-01-03 19:30:00,33485
2023-01-03 20:00:00,32185
2023-01-03 20:30:00,30770
2023-01-03 21:00:00,29251
2023-01-03 21:30:00,27650
2023-01-03 22:00:00,25763
2023-01-03 22:30:00,24018
2023-01-03 23:00:00,22280
2023-01-03 23:30:00,21351
2023-01-04 00:00:00,20779
2023-01-04 00:30:00,21200
2023-01-04 01:00:00,20778
2023-01-04 01:30:00,20273
2023-01-04 02:00:00,19761
2023-01-04 02:30:00,19368
2023-01-04 03:00:00,19065
2023-01-04 03:30:00,18572
2023-01-04 04:00:00,18277
2023-01-04 04:30:00,18331
2023-01-04 05:00:00,18887
2023-01-04 05:30:00,19571
2023-01-04 06:00:00,21802
2023-01-04 06:30:00,23982
2023-01-04 07:00:00,26560
2023-01-04 07:30:00,28346
2023-01-04 08:00:00,29874
2023-01-04 08:30:00,30537
2023-01-04 09:00:00,31367
2023-01-04 09:30:00,31452
2023-01-04 10:00:00,31498
2023-01-04 10:30:00,31397
2023-01-04 11:00:00,31300
2023-01-04 11:30:00,31346
2023-01-04 12:00:00,31742
2023-01-04 12:30:00,31583
2023-01-04 13:00:00,31479
2023-01-04 13:30:00,31223
2023-01-04 14:00:00,31566
2023-01-04 14:30:00,31915
2023-01-04 15:00:00,32500
2023-01-04 15:30:00,33489
2023-01-04 16:00:00,34862
2023-01-04 16:30:00,36335
2023-01-04 17:00:00,36808
2023-01-04 17:30:00,36877
2023-01-04 18:00:00,36322
2023-01-04 18:30:00,35530
2023-01-04 19:00:00,34588
2023-01-04 19:30:00,33452
2023-01-04 20:00:00,32276
2023-01-04 20:30:00,30857
2023-01-04 21:00:00,29374
2023-01-04 21:30:00,27933
2023-01-04 22:00:00,26490
2023-01-04 22:30:00,25111
2023-01-04 23:00:00,23331
2023-01-04 23:30:00,22457
2023-01-05 00:00:00,22173
2023-01-05 00:30:00,22613
2023-01-05 01:00:00,22418
2023-01-05 01:30:00,21941
2023-01-05 02:00:00,21697
2023-01-05 02:30:00,21449
2023-01-05 03:00:00,21016
2023-01-05 03:30:00,20715
2023-01-05 04:00:00,20679
2023-01-05 04:30:00,20893
2023-01-05 05:00:00,21513
2023-01-05 05:30:00,22513
2023-01-05 06:00:00,24955
2023-01-05 06:30:00,27210
2023-01-05 07:00:00,29860
2023-01-05 07:30:00,31739
2023-01-05 08:00:00,33115
2023-01-05 08:30:00,33635
