datetime,SETTLEMENT_DATE,SETTLEMENT_PERIOD,TSD,ND,EMBEDDED_WIND_GENERATION,EMBEDDED_SOLAR_GENERATION,system_price,hour,minute,day_of_week,month,day_of_year,is_weekend,is_peak,demand_change,price_change,grid_stress
2023-01-01 00:30:00,2023-01-01,2,25289,21756,2793,0,12.89689645833333,0,30,6,1,1,1,0,609.0,0.0,0.3101179391682185
2023-01-01 01:00:00,2023-01-01,3,25269,21348,2773,0,12.89689645833333,1,0,6,1,1,1,0,-20.0,0.0,0.3094972067039106
2023-01-01 01:30:00,2023-01-01,4,24574,20586,2753,0,12.89689645833333,1,30,6,1,1,1,0,-695.0,0.0,0.28792675356921166
2023-01-01 02:00:00,2023-01-01,5,24135,19781,2712,0,12.89689645833333,2,0,6,1,1,1,0,-439.0,0.0,0.27430167597765365
2023-01-01 02:30:00,2023-01-01,6,23505,19077,2671,0,12.89689645833333,2,30,6,1,1,1,0,-630.0,0.0,0.2547486033519553
2023-01-01 03:00:00,2023-01-01,7,22969,18511,2615,0,12.89689645833333,3,0,6,1,1,1,0,-536.0,0.0,0.23811297330850403
2023-01-01 03:30:00,2023-01-01,8,22278,17803,2558,0,12.89689645833333,3,30,6,1,1,1,0,-691.0,0.0,0.21666666666666667
2023-01-01 04:00:00,2023-01-01,9,21875,17363,2511,0,12.89689645833333,4,0,6,1,1,1,0,-403.0,0.0,0.20415890751086282
2023-01-01 04:30:00,2023-01-01,10,21654,17096,2464,0,12.89689645833333,4,30,6,1,1,1,0,-221.0,0.0,0.1972998137802607
2023-01-01 05:00:00,2023-01-01,11,22058,17091,2380,0,12.89689645833333,5,0,6,1,1,1,0,404.0,0.0,0.20983860955927994
2023-01-01 05:30:00,2023-01-01,12,22240,17231,2295,0,12.89689645833333,5,30,6,1,1,1,0,182.0,0.0,0.2154872749844817
2023-01-01 06:00:00,2023-01-01,13,22680,17748,2226,0,12.89689645833333,6,0,6,1,1,1,0,440.0,0.0,0.22914338919925512
2023-01-01 06:30:00,2023-01-01,14,23028,18115,2156,0,12.89689645833333,6,30,6,1,1,1,0,348.0,0.0,0.2399441340782123
2023-01-01 07:00:00,2023-01-01,15,23244,18743,2077,0,12.89689645833333,7,0,6,1,1,1,0,216.0,0.0,0.24664804469273743
2023-01-01 07:30:00,2023-01-01,16,23490,19085,1997,0,12.89689645833333,7,30,6,1,1,1,0,246.0,0.0,0.2542830540037244
2023-01-01 08:00:00,2023-01-01,17,23428,19675,1953,0,12.89689645833333,8,0,6,1,1,1,0,-62.0,0.0,0.25235878336436995
2023-01-01 08:30:00,2023-01-01,18,23746,20491,1909,113,12.89689645833333,8,30,6,1,1,1,0,318.0,0.0,0.2622284295468653
2023-01-01 09:00:00,2023-01-01,19,23464,21442,1888,515,12.89689645833333,9,0,6,1,1,1,0,-282.0,0.0,0.25347610180012414
2023-01-01 09:30:00,2023-01-01,20,23637,22152,1867,871,12.89689645833333,9,30,6,1,1,1,0,173.0,0.0,0.25884543761638734
2023-01-01 10:00:00,2023-01-01,21,24401,23089,1851,1162,12.89689645833333,10,0,6,1,1,1,0,764.0,0.0,0.28255741775294846
2023-01-01 10:30:00,2023-01-01,22,24992,23828,1835,1379,12.89689645833333,10,30,6,1,1,1,0,591.0,0.0,0.30090006207324643
2023-01-01 11:00:00,2023-01-01,23,26040,24677,1839,1453,12.89689645833333,11,0,6,1,1,1,0,1048.0,0.0,0.33342644320297954
2023-01-01 11:30:00,2023-01-01,24,26854,25591,1843,1394,12.89689645833333,11,30,6,1,1,1,0,814.0,0.0,0.3586902545003104
2023-01-01 12:00:00,2023-01-01,25,27966,26670,1803,1251,12.89689645833333,12,0,6,1,1,1,0,1112.0,0.0,0.39320297951582867
2023-01-01 12:30:00,2023-01-01,26,28553,27296,1762,1107,12.89689645833333,12,30,6,1,1,1,0,587.0,0.0,0.41142147734326506
2023-01-01 13:00:00,2023-01-01,27,28815,27541,1693,959,12.89689645833333,13,0,6,1,1,1,0,262.0,0.0,0.4195530726256983
2023-01-01 13:30:00,2023-01-01,28,28993,27670,1624,695,12.89689645833333,13,30,6,1,1,1,0,178.0,0.0,0.4250775915580385
2023-01-01 14:00:00,2023-01-01,29,29217,27881,1534,512,12.89689645833333,14,0,6,1,1,1,0,224.0,0.0,0.43202979515828677
2023-01-01 14:30:00,2023-01-01,30,29636,28315,1444,282,12.89689645833333,14,30,6,1,1,1,0,419.0,0.0,0.44503414028553695
